"Time(s)","SOH_C_Out","agingCapacitor.C_actual(F)"
1.5178665,0.000322167952803903,
1.5179,0.000322167952803903,
1.5179165,0.000322167952803903,
1.51795,0.000322167952803903,
1.5179665,0.000322167952803903,
1.518,0.000322158248538139,
1.518019,0.000322158248538139,
1.51805,0.000322158248538139,
1.518069,0.000322158248538139,
1.5181,0.000322158248538139,
1.518119,0.000322158248538139,
1.51815,0.000322158248538139,
1.518169,0.000322158248538139,
1.5182,0.000322149029485663,
1.518219,0.000322149029485663,
1.51825,0.000322149029485663,
1.518269,0.000322149029485663,
1.5183,0.000322149029485663,
1.518319,0.000322149029485663,
1.51835,0.000322149029485663,
1.518369,0.000322149029485663,
1.5184,0.000322140271385811,
1.518419,0.000322140271385811,
1.51845,0.000322140271385811,
1.518469,0.000322140271385811,
1.5185,0.000322140271385811,
1.518519,0.000322140271385811,
1.51855,0.000322140271385811,
1.518569,0.000322140271385811,
1.5186,0.000322127235083935,
1.518619,0.000322127235083935,
1.51865,0.000322127235083935,
1.518669,0.000322127235083935,
1.5187,0.000322127235083935,
1.518719,0.000322127235083935,
1.51875,0.000322127235083935,
1.518769,0.000322127235083935,
1.5188,0.000322114850597153,
1.518819,0.000322114850597153,
1.51885,0.000322114850597153,
1.518869,0.000322114850597153,
1.5189,0.000322114850597153,
1.518919,0.000322114850597153,
1.51895,0.000322114850597153,
1.518969,0.000322114850597153,
1.519,0.000322106228689645,
1.5190165,0.000322106228689645,
1.51905,0.000322106228689645,
1.5190665,0.000322106228689645,
1.5191,0.000322106228689645,
1.5191165,0.000322106228689645,
1.51915,0.000322106228689645,
1.5191665,0.000322106228689645,
1.5192,0.000322094893908641,
1.5192165,0.000322094893908641,
1.51925,0.000322094893908641,
1.5192665,0.000322094893908641,
1.5193,0.000322094893908641,
1.5193165,0.000322094893908641,
1.51935,0.000322094893908641,
1.5193665,0.000322094893908641,
1.5194,0.000322084125866687,
1.5194165,0.000322084125866687,
1.51945,0.000322084125866687,
1.5194665,0.000322084125866687,
1.5195,0.000322084125866687,
1.5195165,0.000322084125866687,
1.51955,0.000322084125866687,
1.5195665,0.000322084125866687,
1.5196,0.000322077039581645,
1.5196165,0.000322077039581645,
1.51965,0.000322077039581645,
1.5196665,0.000322077039581645,
1.5197,0.000322077039581645,
1.5197165,0.000322077039581645,
1.51975,0.000322077039581645,
1.5197665,0.000322077039581645,
1.5198,0.000322070307610856,
1.5198165,0.000322070307610856,
1.51985,0.000322070307610856,
